gid	ontology	goid	desc
mikado.2G506	MF	0004864	protein phosphatase inhibitor activity
mikado.2G512	BP	0007219	Notch signaling pathway
mikado.2G512	BP	0016567	protein ubiquitination
mikado.2G512	CC	0005737	cytoplasm
mikado.2G512	MF	0046872	metal ion binding
mikado.2G512	MF	0061630	ubiquitin protein ligase activity
mikado.2G701	BP	0007032	endosome organization
mikado.2G701	BP	2000641	regulation of early endosome to late endosome transport
mikado.2G841	CC	0005634	nucleus
mikado.2G841	CC	0005737	cytoplasm
mikado.2G841	CC	0016020	membrane
mikado.2G841	MF	0003676	nucleic acid binding
mikado.2G841	MF	0016787	hydrolase activity
mikado.2G841	MF	0046872	metal ion binding
mikado.2G906	BP	0006508	proteolysis
mikado.2G906	MF	0003676	nucleic acid binding
mikado.2G906	MF	0004190	aspartic-type endopeptidase activity
mikado.2G906	MF	0008270	zinc ion binding
mikado.2G920	BP	0006355	regulation of DNA-templated transcription
mikado.2G920	CC	0005634	nucleus
mikado.2G920	MF	0003677	DNA binding
mikado.2G920	MF	0003700	DNA-binding transcription factor activity
mikado.2G926	BP	0006355	regulation of DNA-templated transcription
mikado.2G926	CC	0016020	membrane
mikado.2G926	MF	0046983	protein dimerization activity
mikado.30G1147	CC	0016020	membrane
mikado.30G1244	CC	0005634	nucleus
mikado.30G1244	MF	0003723	RNA binding
mikado.30G1244	MF	0046872	metal ion binding
mikado.30G21	CC	0016020	membrane
mikado.30G517	CC	0016020	membrane
mikado.30G517	MF	0015035	protein-disulfide reductase activity
mikado.30G637	CC	0016020	membrane
mikado.30G814	BP	0006469	negative regulation of protein kinase activity
mikado.30G814	CC	0005737	cytoplasm
mikado.30G967	BP	0015074	DNA integration
mikado.30G967	MF	0003676	nucleic acid binding
mikado.31G1084	CC	0005576	extracellular region
mikado.31G1084	CC	0005581	collagen trimer
mikado.31G1084	CC	0005604	basement membrane
mikado.31G1084	CC	0016020	membrane
mikado.31G1084	MF	0005201	extracellular matrix structural constituent
mikado.31G1108	CC	0005634	nucleus
mikado.31G1108	CC	0005737	cytoplasm
mikado.31G1108	CC	0016020	membrane
mikado.31G1108	MF	0016787	hydrolase activity
mikado.31G1108	MF	0046872	metal ion binding
mikado.31G133	CC	0016020	membrane
mikado.31G184	BP	0006265	DNA topological change
mikado.31G184	BP	0006357	regulation of transcription by RNA polymerase II
mikado.31G184	BP	0045893	positive regulation of DNA-templated transcription
mikado.31G184	CC	0005634	nucleus
mikado.31G184	CC	0005667	transcription regulator complex
mikado.31G184	CC	0005694	chromosome
mikado.31G184	CC	0034708	methyltransferase complex
mikado.31G184	CC	0070013	intracellular organelle lumen
mikado.31G184	MF	0003677	DNA binding
mikado.31G184	MF	0003713	transcription coactivator activity
mikado.31G184	MF	0003917	DNA topoisomerase type I (single strand cut, ATP-independent) activity
mikado.31G271	CC	0016020	membrane
mikado.31G382	CC	0016020	membrane
mikado.31G382	MF	0003676	nucleic acid binding
mikado.31G530	CC	0005634	nucleus
mikado.31G530	CC	0005737	cytoplasm
mikado.31G530	CC	0016020	membrane
mikado.31G530	MF	0016787	hydrolase activity
mikado.31G530	MF	0046872	metal ion binding
mikado.31G805	CC	0016020	membrane
mikado.31G884	BP	0006355	regulation of DNA-templated transcription
mikado.31G884	MF	0003676	nucleic acid binding
mikado.31G884	MF	0003700	DNA-binding transcription factor activity
mikado.32G1114	BP	0015074	DNA integration
mikado.32G1114	BP	0048856	anatomical structure development
mikado.32G1114	MF	0003676	nucleic acid binding
mikado.32G1118	CC	0016020	membrane
mikado.32G1262	CC	0016020	membrane
mikado.32G1307	BP	0002250	adaptive immune response
mikado.32G1307	CC	0016020	membrane
mikado.32G1307	MF	0038023	signaling receptor activity
mikado.32G142	CC	0016020	membrane
mikado.32G1431	CC	0005886	plasma membrane
mikado.32G1440	CC	0016020	membrane
mikado.32G318	BP	0045666	positive regulation of neuron differentiation
mikado.32G318	BP	0045746	negative regulation of Notch signaling pathway
mikado.32G318	BP	0045892	negative regulation of DNA-templated transcription
mikado.32G318	CC	0005634	nucleus
mikado.32G318	MF	0003677	DNA binding
mikado.32G318	MF	0003714	transcription corepressor activity
mikado.32G752	BP	0007165	signal transduction
mikado.32G823	MF	0008168	methyltransferase activity
mikado.32G823	MF	0016706	2-oxoglutarate-dependent dioxygenase activity
mikado.32G87	BP	0006826	iron ion transport
mikado.32G87	BP	0006879	intracellular iron ion homeostasis
mikado.32G87	MF	0008199	ferric iron binding
mikado.32G974	BP	0000209	protein polyubiquitination
mikado.32G974	BP	0043161	proteasome-mediated ubiquitin-dependent protein catabolic process
mikado.32G974	BP	0051179	localization
mikado.32G974	CC	0005634	nucleus
mikado.32G974	CC	0031463	Cul3-RING ubiquitin ligase complex
mikado.32G974	MF	0031625	ubiquitin protein ligase binding
mikado.33G1032	BP	0007166	cell surface receptor signaling pathway
mikado.33G1032	CC	0005886	plasma membrane
mikado.33G278	CC	0016020	membrane
mikado.33G378	BP	0006887	exocytosis
mikado.33G378	CC	0000145	exocyst
mikado.33G406	CC	0016020	membrane
mikado.33G406	MF	0046872	metal ion binding
mikado.33G708	BP	0006278	RNA-templated DNA biosynthetic process
mikado.33G708	MF	0003964	RNA-directed DNA polymerase activity
mikado.33G809	BP	0042742	defense response to bacterium
mikado.33G820	CC	0016020	membrane
mikado.33G82	BP	0034508	centromere complex assembly
mikado.33G82	CC	0000776	kinetochore
mikado.33G82	CC	0005634	nucleus
mikado.33G837	CC	0016020	membrane
mikado.33G926	CC	0016020	membrane
mikado.34G1010	MF	0003676	nucleic acid binding
mikado.34G1010	MF	0008270	zinc ion binding
mikado.34G1033	MF	0003676	nucleic acid binding
mikado.34G1033	MF	0008270	zinc ion binding
mikado.34G675	CC	0005739	mitochondrion
mikado.34G675	CC	0005769	early endosome
mikado.34G679	BP	0032259	methylation
mikado.34G679	CC	0016020	membrane
mikado.34G679	MF	0008168	methyltransferase activity
mikado.34G796	CC	0005634	nucleus
mikado.34G796	MF	0003677	DNA binding
mikado.34G796	MF	0046872	metal ion binding
mikado.34G796	MF	0046983	protein dimerization activity
mikado.34G974	MF	0003723	RNA binding
mikado.35G1001	CC	0016020	membrane
mikado.35G109	BP	0006955	immune response
mikado.35G109	BP	0007165	signal transduction
mikado.35G109	BP	0060326	cell chemotaxis
mikado.35G109	CC	0005615	extracellular space
mikado.35G109	MF	0008009	chemokine activity
mikado.35G851	MF	0005085	guanyl-nucleotide exchange factor activity
mikado.35G919	CC	0016020	membrane
mikado.35G948	BP	0006270	DNA replication initiation
mikado.35G948	BP	0007049	cell cycle
mikado.35G948	BP	0032508	DNA duplex unwinding
mikado.35G948	CC	0005634	nucleus
mikado.35G948	CC	0042555	MCM complex
mikado.35G948	MF	0003677	DNA binding
mikado.35G948	MF	0004386	helicase activity
mikado.35G948	MF	0005524	ATP binding
mikado.35G948	MF	0016787	hydrolase activity
mikado.35G971	BP	0006915	apoptotic process
mikado.36G294	BP	0031110	regulation of microtubule polymerization or depolymerization
mikado.36G643	CC	0016020	membrane
mikado.36G803	BP	0008053	mitochondrial fusion
mikado.36G803	CC	0005739	mitochondrion
mikado.36G803	CC	0016020	membrane
mikado.36G835	BP	0008053	mitochondrial fusion
mikado.36G835	CC	0005739	mitochondrion
mikado.36G835	CC	0016020	membrane
mikado.37G1016	CC	0016020	membrane
mikado.37G126	MF	0005509	calcium ion binding
mikado.37G132	CC	0016020	membrane
mikado.37G136	CC	0016020	membrane
mikado.37G227	CC	0005581	collagen trimer
mikado.37G26	CC	0016020	membrane
mikado.37G341	MF	0003676	nucleic acid binding
mikado.37G341	MF	0004519	endonuclease activity
mikado.37G401	CC	0016020	membrane
mikado.37G576	CC	0016020	membrane
mikado.37G576	MF	0016874	ligase activity
mikado.37G67	CC	0016020	membrane
mikado.37G686	BP	0042981	regulation of apoptotic process
mikado.37G709	CC	0016020	membrane
mikado.37G709	MF	0016874	ligase activity
mikado.37G735	BP	0006278	RNA-templated DNA biosynthetic process
mikado.37G735	MF	0003964	RNA-directed DNA polymerase activity
mikado.37G756	CC	0016020	membrane
mikado.37G897	CC	0005634	nucleus
mikado.37G897	CC	0005737	cytoplasm
mikado.37G897	CC	0016020	membrane
mikado.37G897	MF	0016787	hydrolase activity
mikado.37G897	MF	0046872	metal ion binding
mikado.37G903	MF	0016874	ligase activity
mikado.37G903	MF	0046872	metal ion binding
mikado.37G982	CC	0016020	membrane
mikado.38G1013	BP	0048731	system development
mikado.38G1013	CC	0016459	myosin complex
mikado.38G1013	MF	0003774	cytoskeletal motor activity
mikado.38G1013	MF	0003779	actin binding
mikado.38G1013	MF	0005524	ATP binding
mikado.38G1124	BP	0006355	regulation of DNA-templated transcription
mikado.38G1124	MF	0046872	metal ion binding
mikado.38G1150	CC	0016020	membrane
mikado.38G1176	MF	0003676	nucleic acid binding
mikado.38G1176	MF	0008270	zinc ion binding
mikado.38G151	CC	0016020	membrane
mikado.38G151	MF	0003824	catalytic activity
mikado.38G19	CC	0016020	membrane
mikado.38G243	CC	0016020	membrane
mikado.38G277	BP	0061640	cytoskeleton-dependent cytokinesis
mikado.38G277	CC	0005737	cytoplasm
mikado.38G277	CC	0015630	microtubule cytoskeleton
mikado.38G277	CC	0032153	cell division site
mikado.38G277	CC	0032156	septin cytoskeleton
mikado.38G277	CC	0032991	protein-containing complex
mikado.38G277	CC	0043005	neuron projection
mikado.38G277	CC	0071944	cell periphery
mikado.38G277	CC	0099569	presynaptic cytoskeleton
mikado.38G277	MF	0003924	GTPase activity
mikado.38G277	MF	0005525	GTP binding
mikado.38G277	MF	0060090	molecular adaptor activity
mikado.38G38	BP	0098609	cell-cell adhesion
mikado.38G38	CC	0016020	membrane
mikado.38G413	BP	0002250	adaptive immune response
mikado.38G413	CC	0016020	membrane
mikado.38G413	MF	0038023	signaling receptor activity
mikado.38G437	CC	0016020	membrane
mikado.38G437	MF	0004252	serine-type endopeptidase activity
mikado.38G961	BP	0042981	regulation of apoptotic process
mikado.38G961	BP	0045087	innate immune response
mikado.38G961	CC	0005737	cytoplasm
mikado.38G982	BP	0048513	animal organ development
mikado.38G982	MF	0005509	calcium ion binding
mikado.38G992	BP	0006954	inflammatory response
mikado.38G992	BP	0042981	regulation of apoptotic process
mikado.38G992	BP	0045087	innate immune response
mikado.38G992	CC	0005737	cytoplasm
mikado.38G992	CC	0016020	membrane
mikado.38G992	MF	0046872	metal ion binding
mikado.39G147	BP	0031144	proteasome localization
mikado.39G147	BP	0071630	nuclear protein quality control by the ubiquitin-proteasome system
mikado.39G147	CC	0005634	nucleus
mikado.39G147	CC	0012505	endomembrane system
mikado.39G147	CC	0031090	organelle membrane
mikado.39G147	CC	0031967	organelle envelope
mikado.39G147	MF	0070628	proteasome binding
mikado.39G148	CC	0016020	membrane
mikado.39G489	BP	0007165	signal transduction
mikado.39G489	BP	0016310	phosphorylation
mikado.39G489	CC	0005737	cytoplasm
mikado.39G489	CC	0005815	microtubule organizing center
mikado.39G489	CC	0016020	membrane
mikado.39G489	MF	0003677	DNA binding
mikado.39G489	MF	0016301	kinase activity
mikado.39G489	MF	0060090	molecular adaptor activity
mikado.39G65	CC	0005901	caveola
mikado.39G688	MF	0005509	calcium ion binding
mikado.3G102	MF	0005509	calcium ion binding
mikado.3G102	MF	0005544	calcium-dependent phospholipid binding
mikado.3G1213	CC	0016020	membrane
mikado.3G1548	BP	0042981	regulation of apoptotic process
mikado.3G1595	CC	0016020	membrane
mikado.3G1650	CC	0016020	membrane
mikado.3G1650	MF	0016874	ligase activity
mikado.3G1828	BP	0007155	cell adhesion
mikado.3G1828	BP	0007519	skeletal muscle tissue development
mikado.3G1828	BP	0007626	locomotory behavior
mikado.3G1828	BP	0030198	extracellular matrix organization
mikado.3G1828	BP	0035821	modulation of process of another organism
mikado.3G1828	BP	0035987	endodermal cell differentiation
mikado.3G1828	BP	0045087	innate immune response
mikado.3G1828	BP	0071230	cellular response to amino acid stimulus
mikado.3G1828	CC	0005576	extracellular region
mikado.3G1828	CC	0005581	collagen trimer
mikado.3G1828	CC	0031012	extracellular matrix
mikado.3G1828	CC	0042383	sarcolemma
mikado.3G1828	MF	0005518	collagen binding
mikado.3G1828	MF	0030020	extracellular matrix structural constituent conferring tensile strength
mikado.3G1828	MF	0048407	platelet-derived growth factor binding
mikado.3G1828	MF	0090729	toxin activity
mikado.3G1912	CC	0016020	membrane
mikado.3G1931	BP	0002040	sprouting angiogenesis
mikado.3G1931	BP	0003181	atrioventricular valve morphogenesis
mikado.3G1931	BP	0006357	regulation of transcription by RNA polymerase II
mikado.3G1931	BP	0009953	dorsal/ventral pattern formation
mikado.3G1931	BP	0030335	positive regulation of cell migration
mikado.3G1931	BP	0030500	regulation of bone mineralization
mikado.3G1931	BP	0045668	negative regulation of osteoblast differentiation
mikado.3G1931	BP	0060037	pharyngeal system development
mikado.3G1931	CC	0005634	nucleus
mikado.3G1931	CC	0005737	cytoplasm
mikado.3G1931	CC	0043232	intracellular non-membrane-bounded organelle
mikado.3G1931	CC	0070013	intracellular organelle lumen
mikado.3G1931	MF	0000976	transcription cis-regulatory region binding
mikado.3G1931	MF	0000981	DNA-binding transcription factor activity, RNA polymerase II-specific
mikado.3G1931	MF	0046983	protein dimerization activity
mikado.3G1962	CC	0016020	membrane
mikado.3G1992	CC	0016020	membrane
mikado.3G2071	BP	0048513	animal organ development
mikado.3G2071	MF	0046872	metal ion binding
mikado.3G2078	BP	0035556	intracellular signal transduction
mikado.3G2078	CC	0016020	membrane
mikado.3G2078	MF	0005085	guanyl-nucleotide exchange factor activity
mikado.3G2115	BP	0006278	RNA-templated DNA biosynthetic process
mikado.3G2115	MF	0003964	RNA-directed DNA polymerase activity
mikado.3G2153	BP	0007062	sister chromatid cohesion
mikado.3G2153	CC	0005634	nucleus
mikado.3G2153	CC	0008278	cohesin complex
mikado.3G317	MF	0008168	methyltransferase activity
mikado.3G317	MF	0016706	2-oxoglutarate-dependent dioxygenase activity
mikado.3G339	BP	0016310	phosphorylation
mikado.3G339	BP	0032958	inositol phosphate biosynthetic process
mikado.3G339	CC	0005634	nucleus
mikado.3G339	CC	0005737	cytoplasm
mikado.3G339	MF	0016301	kinase activity
mikado.3G339	MF	0016773	phosphotransferase activity, alcohol group as acceptor
mikado.3G37	BP	0006325	chromatin organization
mikado.3G37	CC	0000785	chromatin
mikado.3G37	CC	0005634	nucleus
mikado.3G37	MF	0031492	nucleosomal DNA binding
mikado.3G42	BP	0051017	actin filament bundle assembly
mikado.3G42	CC	0110165	cellular anatomical entity
mikado.3G42	MF	0051015	actin filament binding
mikado.3G705	BP	0006412	translation
mikado.3G705	CC	0005768	endosome
mikado.3G705	CC	0005840	ribosome
mikado.3G705	CC	0016020	membrane
mikado.3G705	CC	1990904	ribonucleoprotein complex
mikado.3G705	MF	0003735	structural constituent of ribosome
mikado.3G705	MF	0035091	phosphatidylinositol binding
mikado.3G861	CC	0016020	membrane
mikado.3G866	CC	0016020	membrane
mikado.3G932	BP	1902358	sulfate transmembrane transport
mikado.3G932	CC	0016020	membrane
mikado.3G932	MF	0008271	secondary active sulfate transmembrane transporter activity
mikado.3G983	MF	0003676	nucleic acid binding
mikado.3G983	MF	0008270	zinc ion binding
mikado.40G247	BP	0016567	protein ubiquitination
mikado.40G247	MF	0003950	NAD+ ADP-ribosyltransferase activity
mikado.40G247	MF	0046872	metal ion binding
mikado.40G354	MF	0005509	calcium ion binding
mikado.40G374	MF	0008168	methyltransferase activity
mikado.40G374	MF	0016706	2-oxoglutarate-dependent dioxygenase activity
mikado.40G42	CC	0016020	membrane
mikado.40G42	MF	0030246	carbohydrate binding
mikado.40G672	BP	0055085	transmembrane transport
mikado.40G672	CC	0016020	membrane
mikado.4G1087	CC	0016020	membrane
mikado.4G1106	BP	0007229	integrin-mediated signaling pathway
mikado.4G1106	CC	0005886	plasma membrane
mikado.4G1468	BP	0006470	protein dephosphorylation
mikado.4G1468	CC	0016020	membrane
mikado.4G1468	MF	0008138	protein tyrosine/serine/threonine phosphatase activity
mikado.4G1803	MF	0019901	protein kinase binding
mikado.4G24	CC	0005634	nucleus
mikado.4G24	CC	0005737	cytoplasm
mikado.4G24	MF	0005525	GTP binding
mikado.4G24	MF	0008270	zinc ion binding
mikado.4G253	CC	0016020	membrane
mikado.4G254	CC	0005634	nucleus
mikado.4G254	CC	0005737	cytoplasm
mikado.4G254	CC	0016020	membrane
mikado.4G254	MF	0016787	hydrolase activity
mikado.4G254	MF	0046872	metal ion binding
mikado.4G289	BP	0007186	G protein-coupled receptor signaling pathway
mikado.4G289	CC	0016020	membrane
mikado.4G289	MF	0004930	G protein-coupled receptor activity
mikado.4G292	BP	0006278	RNA-templated DNA biosynthetic process
mikado.4G292	MF	0003964	RNA-directed DNA polymerase activity
mikado.4G521	CC	0005634	nucleus
mikado.4G53	CC	0016020	membrane
mikado.4G574	BP	0000209	protein polyubiquitination
mikado.4G574	MF	0061630	ubiquitin protein ligase activity
mikado.4G582	MF	0046872	metal ion binding
mikado.4G597	CC	0005737	cytoplasm
mikado.4G597	MF	0046872	metal ion binding
mikado.4G763	BP	0000165	MAPK cascade
mikado.4G763	BP	0001654	eye development
mikado.4G763	BP	0006468	protein phosphorylation
mikado.4G763	BP	0007420	brain development
mikado.4G763	BP	0021952	central nervous system projection neuron axonogenesis
mikado.4G763	BP	0033043	regulation of organelle organization
mikado.4G763	BP	0043009	chordate embryonic development
mikado.4G763	CC	0005737	cytoplasm
mikado.4G763	CC	0005856	cytoskeleton
mikado.4G763	MF	0004707	MAP kinase activity
mikado.4G763	MF	0005524	ATP binding
mikado.4G763	MF	0106310	protein serine kinase activity
mikado.5G1304	CC	0016020	membrane
mikado.5G1327	CC	0016020	membrane
mikado.5G1328	BP	0006869	lipid transport
mikado.5G1328	BP	0042157	lipoprotein metabolic process
mikado.5G1328	CC	0005576	extracellular region
mikado.5G1328	CC	0016020	membrane
mikado.5G1328	MF	0008289	lipid binding
mikado.5G1347	CC	0016020	membrane
mikado.5G1366	BP	1900449	regulation of glutamate receptor signaling pathway
mikado.5G1366	CC	0016020	membrane
mikado.5G1383	BP	0035332	positive regulation of hippo signaling
mikado.5G1383	CC	0005886	plasma membrane
mikado.5G1383	CC	0030054	cell junction
mikado.5G1407	BP	0002729	positive regulation of natural killer cell cytokine production
mikado.5G1407	BP	0002860	positive regulation of natural killer cell mediated cytotoxicity directed against tumor cell target
mikado.5G1407	BP	0002891	positive regulation of immunoglobulin mediated immune response
mikado.5G1407	BP	0032729	positive regulation of type II interferon production
mikado.5G1407	BP	0033005	positive regulation of mast cell activation
mikado.5G1407	BP	0050862	positive regulation of T cell receptor signaling pathway
mikado.5G1407	BP	0060369	positive regulation of Fc receptor mediated stimulatory signaling pathway
mikado.5G1407	CC	0009986	cell surface
mikado.5G1407	CC	0016020	membrane
mikado.5G1407	CC	0071944	cell periphery
mikado.5G1410	BP	0048856	anatomical structure development
mikado.5G1410	CC	0016020	membrane
mikado.5G1454	CC	0005737	cytoplasm
mikado.5G1454	CC	0005856	cytoskeleton
mikado.5G1454	MF	0051015	actin filament binding
mikado.5G1582	CC	0016020	membrane
mikado.5G1749	BP	0006468	protein phosphorylation
mikado.5G1749	MF	0004672	protein kinase activity
mikado.5G1749	MF	0005524	ATP binding
mikado.5G368	CC	0016020	membrane
mikado.5G368	MF	0140625	opioid growth factor receptor activity
mikado.5G564	MF	0008270	zinc ion binding
mikado.5G833	BP	0006313	DNA transposition
mikado.5G833	BP	0006355	regulation of DNA-templated transcription
mikado.5G833	BP	0015074	DNA integration
mikado.5G833	CC	0016020	membrane
mikado.5G833	MF	0003677	DNA binding
mikado.5G852	BP	0016310	phosphorylation
mikado.5G852	MF	0016301	kinase activity
mikado.5G991	BP	0008045	motor neuron axon guidance
mikado.5G991	BP	0009887	animal organ morphogenesis
mikado.5G991	BP	0009888	tissue development
mikado.5G991	BP	0016358	dendrite development
mikado.5G991	CC	0005576	extracellular region
mikado.5G991	CC	0005604	basement membrane
mikado.5G991	CC	0016020	membrane
mikado.5G991	MF	0005102	signaling receptor binding
mikado.6G1186	CC	0016020	membrane
mikado.6G1197	CC	0016020	membrane
mikado.6G1324	BP	0031144	proteasome localization
mikado.6G1324	BP	0071630	nuclear protein quality control by the ubiquitin-proteasome system
mikado.6G1324	CC	0005634	nucleus
mikado.6G1324	CC	0012505	endomembrane system
mikado.6G1324	CC	0031090	organelle membrane
mikado.6G1324	CC	0031967	organelle envelope
mikado.6G1324	MF	0070628	proteasome binding
mikado.6G248	BP	0016310	phosphorylation
mikado.6G248	MF	0016301	kinase activity
mikado.6G47	CC	0005789	endoplasmic reticulum membrane
mikado.6G47	CC	0030314	junctional membrane complex
mikado.6G510	BP	0032502	developmental process
mikado.6G510	MF	0005509	calcium ion binding
mikado.6G521	BP	0006351	DNA-templated transcription
mikado.6G521	BP	0006357	regulation of transcription by RNA polymerase II
mikado.6G521	CC	0005654	nucleoplasm
mikado.6G521	CC	0016592	mediator complex
mikado.6G521	MF	0003712	transcription coregulator activity
mikado.6G611	BP	0007049	cell cycle
mikado.6G611	CC	0005634	nucleus
mikado.6G611	MF	0016746	acyltransferase activity
mikado.6G611	MF	0046872	metal ion binding
mikado.6G788	CC	0016020	membrane
mikado.6G863	CC	0016020	membrane
mikado.6G95	CC	0005634	nucleus
mikado.6G95	CC	0005737	cytoplasm
mikado.6G95	CC	0016020	membrane
mikado.6G95	MF	0016787	hydrolase activity
mikado.6G95	MF	0046872	metal ion binding
mikado.7G1220	CC	0016020	membrane
mikado.7G336	CC	0005634	nucleus
mikado.7G336	CC	0005737	cytoplasm
mikado.7G336	CC	0016020	membrane
mikado.7G336	MF	0003676	nucleic acid binding
mikado.7G336	MF	0016787	hydrolase activity
mikado.7G336	MF	0046872	metal ion binding
mikado.7G560	CC	0016020	membrane
mikado.7G678	BP	0098609	cell-cell adhesion
mikado.7G678	CC	0016020	membrane
mikado.7G678	MF	0005509	calcium ion binding
mikado.7G686	CC	0005634	nucleus
mikado.7G686	CC	0005737	cytoplasm
mikado.7G686	CC	0016020	membrane
mikado.7G686	MF	0003676	nucleic acid binding
mikado.7G686	MF	0016787	hydrolase activity
mikado.7G686	MF	0046872	metal ion binding
mikado.7G698	BP	0016310	phosphorylation
mikado.7G698	CC	0005576	extracellular region
mikado.7G698	CC	0016020	membrane
mikado.7G698	MF	0001716	L-amino-acid oxidase activity
mikado.7G698	MF	0004497	monooxygenase activity
mikado.7G698	MF	0010945	CoA pyrophosphatase activity
mikado.7G698	MF	0016301	kinase activity
mikado.7G698	MF	0071949	FAD binding
mikado.7G831	BP	0006351	DNA-templated transcription
mikado.7G831	BP	0006355	regulation of DNA-templated transcription
mikado.7G831	CC	0005634	nucleus
mikado.7G831	MF	0003677	DNA binding
mikado.7G914	BP	0051301	cell division
mikado.7G914	CC	0016020	membrane
mikado.7G914	CC	0071944	cell periphery
mikado.8G1293	CC	0016020	membrane
mikado.8G1294	CC	0016020	membrane
mikado.8G1433	CC	0005634	nucleus
mikado.8G1433	CC	0005737	cytoplasm
mikado.8G1433	CC	0016020	membrane
mikado.8G1433	MF	0016787	hydrolase activity
mikado.8G1433	MF	0046872	metal ion binding
mikado.8G288	CC	0016020	membrane
mikado.8G319	CC	0016020	membrane
mikado.8G363	CC	0016020	membrane
mikado.8G621	MF	0005085	guanyl-nucleotide exchange factor activity
mikado.8G91	CC	0016020	membrane
mikado.8G91	MF	0008168	methyltransferase activity
mikado.8G91	MF	0016706	2-oxoglutarate-dependent dioxygenase activity
mikado.9G1063	MF	0003676	nucleic acid binding
mikado.9G1064	BP	0006887	exocytosis
mikado.9G1064	BP	0098916	anterograde trans-synaptic signaling
mikado.9G1064	CC	0016020	membrane
mikado.9G1064	CC	0045202	synapse
mikado.9G1064	MF	0019992	diacylglycerol binding
mikado.9G1068	CC	0016020	membrane
mikado.9G1069	CC	0016020	membrane
mikado.9G338	CC	0016020	membrane
mikado.9G573	MF	0008168	methyltransferase activity
mikado.9G573	MF	0016706	2-oxoglutarate-dependent dioxygenase activity
mikado.9G680	BP	0006665	sphingolipid metabolic process
mikado.9G680	CC	0005576	extracellular region
mikado.9G680	CC	0005764	lysosome
mikado.CAAJIE010000043.1G1	MF	0035368	selenocysteine insertion sequence binding
mikado.CAAJIE010000058.1G1	BP	0035556	intracellular signal transduction
mikado.CAAJIE010000058.1G1	CC	0005930	axoneme
mikado.CAAJIE010000058.1G1	CC	0034451	centriolar satellite
mikado.CAAJIE010000058.1G1	MF	0019894	kinesin binding
mikado.CAAJIE010000060.1G6	BP	0006468	protein phosphorylation
mikado.CAAJIE010000060.1G6	MF	0004674	protein serine/threonine kinase activity
mikado.CAAJIE010000060.1G6	MF	0005524	ATP binding
mikado.CAAJIE010000071.1G36	BP	0001764	neuron migration
mikado.CAAJIE010000071.1G36	BP	0006968	cellular defense response
mikado.CAAJIE010000071.1G36	CC	0070161	anchoring junction
mikado.CAAJIE010000093.1G49	CC	0016020	membrane
mikado.CAAJIE010000093.1G62	CC	0016020	membrane
mikado.CAAJIE010000137.1G30	CC	0016020	membrane
mikado.CAAJIE010000159.1G1	CC	0016020	membrane
mikado.CAAJIE010000159.1G1	MF	0003676	nucleic acid binding
mikado.CAAJIE010000179.1G2	CC	0005634	nucleus
mikado.CAAJIE010000179.1G2	CC	0016020	membrane
mikado.CAAJIE010000179.1G2	MF	0016740	transferase activity
mikado.CAAJIE010000210.1G3	CC	0000781	chromosome, telomeric region
mikado.CAAJIE010000228.1G1	BP	0048468	cell development
mikado.CAAJIE010000228.1G1	CC	0005737	cytoplasm
mikado.CAAJIE010000233.1G14	BP	0002238	response to molecule of fungal origin
mikado.CAAJIE010000233.1G14	BP	0010033	response to organic substance
mikado.CAAJIE010000233.1G14	BP	0032496	response to lipopolysaccharide
mikado.CAAJIE010000233.1G14	BP	0051707	response to other organism
mikado.CAAJIE010000233.1G14	BP	0071216	cellular response to biotic stimulus
mikado.CAAJIE010000233.1G14	BP	0071345	cellular response to cytokine stimulus
mikado.CAAJIE010000233.1G14	BP	0071396	cellular response to lipid
mikado.CAAJIE010000233.1G14	BP	1901701	cellular response to oxygen-containing compound
mikado.CAAJIE010000233.1G14	CC	0016020	membrane
mikado.CAAJIE010000233.1G14	MF	0001872	(1->3)-beta-D-glucan binding
mikado.CAAJIE010000233.1G15	CC	0016020	membrane
mikado.CAAJIE010000233.1G15	CC	0071944	cell periphery
mikado.CAAJIE010000233.1G15	MF	0004888	transmembrane signaling receptor activity
mikado.CAAJIE010000233.1G26	BP	0002238	response to molecule of fungal origin
mikado.CAAJIE010000233.1G26	BP	0032496	response to lipopolysaccharide
mikado.CAAJIE010000233.1G26	BP	0071216	cellular response to biotic stimulus
mikado.CAAJIE010000233.1G26	BP	0071345	cellular response to cytokine stimulus
mikado.CAAJIE010000233.1G26	BP	0071396	cellular response to lipid
mikado.CAAJIE010000233.1G26	BP	1901701	cellular response to oxygen-containing compound
mikado.CAAJIE010000233.1G26	CC	0009986	cell surface
mikado.CAAJIE010000233.1G26	CC	0016020	membrane
mikado.CAAJIE010000233.1G26	CC	0071944	cell periphery
mikado.CAAJIE010000233.1G26	MF	0001872	(1->3)-beta-D-glucan binding
mikado.CAAJIE010000233.1G26	MF	0005537	mannose binding
mikado.CAAJIE010000233.1G26	MF	0042806	fucose binding
mikado.CAAJIE010000233.1G27	CC	0016020	membrane
mikado.CAAJIE010000233.1G27	CC	0071944	cell periphery
mikado.CAAJIE010000233.1G27	MF	0004888	transmembrane signaling receptor activity
mikado.CAAJIE010000233.1G28	CC	0016020	membrane
mikado.CAAJIE010000235.1G1	MF	0005198	structural molecule activity
mikado.CAAJIE010000244.1G35	BP	0015074	DNA integration
mikado.CAAJIE010000244.1G35	MF	0003700	DNA-binding transcription factor activity
