gid	desc
mikado.34G796	BED-type domain-containing protein;HAT C-terminal dimerisation domain-containing protein;Zinc finger BED domain-containing DAYSLEEPER-like protein
mikado.34G872	Reverse transcriptase domain-containing protein
mikado.34G891	Formin-like protein 2 isoform X1
mikado.34G974	RNA-binding protein 43-like;RNA-binding protein 43-like isoform X1
mikado.35G1000	SH3 domain-containing protein
mikado.35G1001	ABC transmembrane type-1 domain-containing protein
mikado.35G109	Chemokine interleukin-8-like domain-containing protein;Reverse transcriptase domain-containing protein
mikado.35G399	Spermatogenesis associated serine rich 1;Spermatogenesis-associated serine-rich protein 1;Spermatogenesis-associated serine-rich protein 1-like
mikado.35G851	DH domain-containing protein;Pleckstrin homology and RhoGEF domain containing G3
mikado.35G919	Reverse transcriptase domain-containing protein
mikado.35G947	DNA replication licensing factor MCM3
mikado.35G948	DNA helicase;DNA replication licensing factor MCM3
mikado.35G971	Bcl-2-modifying factor;Bcl2 modifying factor 2;Bcl-2-modifying factor-like;Bcl-2-modifying factor-like isoform X2;Bcl-x interacting BH3 domain-containing protein
mikado.36G117	Reverse transcriptase RNase H-like domain-containing protein;ribonuclease H
mikado.36G294	Stathmin domain-containing protein 1
mikado.36G388	Reverse transcriptase domain-containing protein
mikado.36G423	PNPLA domain-containing protein;Transcript variant X1
mikado.36G643	Ig-like domain-containing protein
mikado.36G698	DEP domain containing MTOR interacting protein;PDZ domain-containing protein
mikado.36G76	Reverse transcriptase domain-containing protein
mikado.37G1016	Ig-like domain-containing protein;Immunoglobulin V-set domain-containing protein (Fragment)
mikado.37G1166	Reverse transcriptase domain-containing protein
mikado.37G1197	Chromo domain-containing protein
mikado.37G126	EF-hand domain-containing protein
mikado.37G132	Ig-like domain-containing protein (Fragment)
mikado.37G136	Dentin sialophosphoprotein-like isoform X1
mikado.37G227	Collagen alpha-1(VI) chain-like;VWFA domain-containing protein
mikado.37G341	Tc1-like transposase DDE domain-containing protein
mikado.37G401	TNFR-Cys domain-containing protein;Tumor necrosis factor receptor superfamily member 5-like
mikado.37G576	LITAF domain-containing protein;Proline-rich transmembrane protein 1;Proline-rich transmembrane protein 1 Dispanin subfamily D member 1;Synapse differentiation-inducing gene protein 1-like;Tumor suppressor candidate 5 homolog
mikado.37G686	CARD domain-containing protein (Fragment)
mikado.37G709	Butyrophilin subfamily 1 member A1;E3 ubiquitin-protein ligase TRIM39-like;Tripartite motif containing 69 (Fragment);Zinc-binding protein A33 (Fragment);Zinc-binding protein A33-like;Zinc-binding protein A33-like isoform X3
mikado.37G735	Reverse transcriptase domain-containing protein
mikado.37G756	Membrane-spanning 4-domains subfamily A member 4A
mikado.37G896	Myb/SANT-like DNA-binding domain-containing protein
mikado.37G897	DDE Tnp4 domain-containing protein;Nuclease HARBI1
mikado.37G903	RING-type domain-containing protein
mikado.37G982	Ig-like domain-containing protein;Immunoglobulin subtype domain-containing protein
mikado.38G1013	Myosin heavy chain, fast skeletal muscle-like
mikado.38G1124	C2H2-type domain-containing protein;Zinc finger protein 26
mikado.38G1150	C2H2-type domain-containing protein
mikado.38G1176	CCHC-type domain-containing protein;Integrase catalytic domain-containing protein;Transposase
mikado.38G151	HIT domain-containing protein;Transcript variant X1
mikado.38G243	Ig-like domain-containing protein
mikado.38G277	Neuronal-specific septin-3 isoform X1;Septin 3;Septin-type G domain-containing protein
mikado.38G38	Ig-like domain-containing protein
mikado.38G413	Ig-like domain-containing protein;Immunoglobulin subtype domain-containing protein
mikado.38G437	rhomboid protease
mikado.38G891	KASH domain-containing protein
mikado.38G951	Zinc-binding protein A33-like
mikado.38G953	R domain-containing protein
mikado.38G961	NACHT domain-containing protein
mikado.38G982	Adhesion G protein-coupled receptor E1-like;EGF-like domain-containing protein
mikado.38G992	NACHT domain-containing protein;NACHT, LRR and PYD domains-containing protein 12-like;NLR family CARD domain-containing protein 3
mikado.39G141	BCL-6 corepressor-like;BCL-6 corepressor PCGF1 binding domain-containing protein
mikado.39G147	GI11910 product from transcript GI11910-RA;PIK-related kinase FAT domain-containing protein;SOCS box domain-containing protein
mikado.39G148	Ig-like domain-containing protein;Immunoglobulin subtype domain-containing protein
mikado.39G489	A-kinase anchor protein 9-like;ELK domain-containing protein;Pericentrin;Pericentrin/AKAP-450 centrosomal targeting domain-containing protein
mikado.39G65	Caveolae associated protein 2;Serum deprivation-response protein-like
mikado.39G688	von Willebrand factor D and EGF domain-containing protein (Fragment)
mikado.39G757	AMP-dependent synthetase/ligase domain-containing protein;Glutathione gamma-glutamylcysteinyltransferase;Peptidase C39 domain-containing protein
mikado.3G102	Annexin
mikado.3G1213	Ig-like domain-containing protein
mikado.3G1433	Reverse transcriptase domain-containing protein
mikado.3G1455	Reverse transcriptase domain-containing protein
mikado.3G1548	CARD domain-containing protein (Fragment)
mikado.3G1650	LITAF domain-containing protein;Proline-rich transmembrane protein 1;Proline-rich transmembrane protein 1 Dispanin subfamily D member 1;Synapse differentiation-inducing gene protein 1-like;Trafficking regulator of GLUT4 1-like;Tumor suppressor candidate 5 homolog
mikado.3G1828	Collagen alpha-1(VI) chain;Collagen, type VI, alpha 1;VWFA domain-containing protein
mikado.3G1912	Ig-like domain-containing protein (Fragment)
mikado.3G1931	Dermo-1;Twist family bHLH transcription factor 2;Twist-related protein 1;Twist-related protein 2;Twist-related protein 2 Class A basic helix-loop-helix protein 39
mikado.3G2019	FERM domain-containing protein
mikado.3G2071	(spotted green pufferfish) hypothetical protein (Fragment);Zyxin
mikado.3G2078	DH domain-containing protein;Rho guanine nucleotide exchange factor 5;(spotted green pufferfish) hypothetical protein (Fragment);Transcript variant X5;Trichohyalin-like;Zinc finger CCCH domain-containing protein 13-like isoform X1
mikado.3G2115	Reverse transcriptase domain-containing protein
mikado.3G2153	Meiotic recombination protein REC8 homolog;Rad21/Rec8-like protein N-terminal domain-containing protein
mikado.3G2189	ADAMTS-like protein 4;Max-binding protein MNT-like
mikado.3G317	Alkylated DNA repair protein AlkB homologue 8 N-terminal domain-containing protein;Reverse transcriptase domain-containing protein
mikado.3G339	Kinase
mikado.3G37	High mobility group nucleosome binding domain 1;Non-histone chromosomal protein HMG-14
mikado.3G42	Calponin-homology (CH) domain-containing protein;Plastin 3
mikado.3G705	Mitochondrial ribosomal protein L11;PXA domain-containing protein;Sorting nexin C-terminal domain-containing protein
mikado.3G774	LamG-like jellyroll fold domain-containing protein (Fragment);Pentaxin
mikado.3G859	LisH domain-containing protein;Nucleolar protein dao-5-like
mikado.3G861	Ig-like domain-containing protein
mikado.3G866	Immunoglobulin subtype domain-containing protein
mikado.3G912	Reverse transcriptase RNase H-like domain-containing protein (Fragment)
mikado.3G932	Solute carrier family 26 (Sulfate transporter), member 2 (Fragment)
mikado.3G983	CCHC-type domain-containing protein
mikado.40G247	Poly [ADP-ribose] polymerase;Protein mono-ADP-ribosyltransferase PARP12-like;Protein mono-ADP-ribosyltransferase PARP12-like isoform X2
mikado.40G354	EF-hand domain-containing protein;Histone-lysine N-methyltransferase 2D-like;Integrin alpha FG-GAP repeat containing 2
mikado.40G374	Alkylated DNA repair protein AlkB homologue 8 N-terminal domain-containing protein
mikado.40G42	F5/8 type C domain-containing protein;Fish-egg lectin;Leukolectin
mikado.40G542	C-type lectin domain-containing protein;Macrophage mannose receptor 1-like
mikado.40G672	Solute carrier organic anion transporter family member 1C1-like
mikado.4G1087	Bartter syndrome, infantile, with sensorineural deafness (Barttin);Barttin
mikado.4G1106	FYN-binding protein 1-like;FYN-binding protein-like isoform X2
mikado.4G1468	Dual specificity protein phosphatase MPK-4;DUSK4 phosphatase (Fragment);Synaptotagmin-1;Tyrosine specific protein phosphatases domain-containing protein
mikado.4G1500	C-type lectin domain-containing protein
mikado.4G1519	Receptor-type tyrosine-protein phosphatase eta isoform X2
mikado.4G1803	cGMP-dependent protein kinase interacting domain-containing protein;Protein phosphatase 1 regulatory subunit 12A-like
mikado.4G1850	Reverse transcriptase domain-containing protein
mikado.4G1886	Coiled-coil domain containing 33;Coiled-coil domain-containing protein 33-like;Coiled-coil domain-containing protein 33-like isoform X1
mikado.4G212	Centlein;Centlein, centrosomal protein
mikado.4G24	Interferon-induced very large GTPase 1-like;Up-regulator of cell proliferation-like;VLIG-type G domain-containing protein
mikado.4G253	SEA domain-containing protein (Fragment)
mikado.4G254	DDE Tnp4 domain-containing protein;Nuclease HARBI1
mikado.4G255	Myb/SANT-like DNA-binding domain-containing protein
mikado.4G289	Chemokine XC receptor 1;G-protein coupled receptors family 1 profile domain-containing protein;Hydroxycarboxylic acid receptor 2;Somatostatin receptor type 2-like;Uracil nucleotide/cysteinyl leukotriene receptor-like
mikado.4G292	Reverse transcriptase domain-containing protein
mikado.4G346	C2H2-type domain-containing protein;Neurotrophin receptor-interacting factor homolog;Transcriptional regulator prz1-like isoform X1;Transcription factor Sp7-like;Zinc finger protein with KRAB and SCAN domains 1-like isoform X1
mikado.4G381	C2H2-type domain-containing protein;Transcriptional regulator prz1-like;Zinc finger and BTB domain-containing protein 18-like
mikado.4G385	C2H2-type domain-containing protein;Transcription factor Sp7-like;Zinc finger protein with KRAB and SCAN domains 8-like
mikado.4G389	C2H2-type domain-containing protein;Neurotrophin receptor-interacting factor homolog;Transcription factor Sp7-like;Transcription factor YY2-like isoform X2;Zinc finger protein with KRAB and SCAN domains 1-like
mikado.4G395	C2H2-type domain-containing protein;Neurotrophin receptor-interacting factor homolog;Zinc finger protein 271 isoform X5
mikado.4G419	C2H2-type domain-containing protein;Neurotrophin receptor-interacting factor homolog;Zinc finger protein with KRAB and SCAN domains 8-like
mikado.4G422	Zinc finger and SCAN domain-containing protein 2-like isoform X3
mikado.4G471	Myb/SANT-like DNA-binding domain-containing protein
mikado.4G521	Bromodomain-containing protein 4-like;Pneumococcal serine-rich repeat protein isoform X2;Serine/arginine repetitive matrix protein 1-like;SET domain-containing protein;Splicing factor, arginine/serine-rich 19-like;Transcript variant X2
mikado.4G53	Fibroblast growth factor receptor 3;Ig-like domain-containing protein
mikado.4G574	HECT-type E3 ubiquitin transferase
mikado.4G582	C3H1-type domain-containing protein;Nucleolar and coiled-body phosphoprotein 1-like
mikado.4G597	LON peptidase N-terminal domain and RING finger protein 1;RING-type domain-containing protein
mikado.4G651	Basic salivary proline-rich protein 3-like
mikado.4G763	Mitogen-activated protein kinase
mikado.4G780	Chaperonin
mikado.5G104	PDZ domain-containing protein 7-like
mikado.5G1071	Chemokine interleukin-8-like domain-containing protein
mikado.5G1304	Ig-like domain-containing protein;SLAM family member 8;T-lymphocyte surface antigen Ly-9-like isoform X1
mikado.5G1366	DOMON domain-containing protein (Fragment);Ferric-chelate reductase 1
mikado.5G1383	Schwannomin-interacting protein 1;Schwannomin interacting protein 1 C-terminal domain-containing protein;Schwannomin-interacting protein 1-like;Schwannomin-interacting protein 1-like isoform X2
mikado.5G1407	Ig-like domain-containing protein (Fragment);Immunoglobulin V-set domain-containing protein
mikado.5G1410	EGF-like domain-containing protein;MAGE-like protein 2;SEA domain-containing protein
mikado.5G1419	Mastermind-like domain-containing protein 1;Mediator of RNA polymerase II transcription subunit 29-like;Neurogenic mastermind-like N-terminal domain-containing protein;Trithorax group protein osa-like
mikado.5G1454	ASD2 domain-containing protein
mikado.5G1478	Kelch repeat-containing protein (Fragment)
mikado.5G1566	C2H2-type domain-containing protein;Oocyte zinc finger protein XlCOF6.1-like
mikado.5G170	Transcript variant X2
mikado.5G1749	Serine/threonine-protein kinase 26-like
mikado.5G368	Opioid growth factor receptor-like protein 1
mikado.5G478	Reverse transcriptase domain-containing protein
mikado.5G490	SGNH hydrolase-type esterase domain-containing protein;Zinc finger protein 318
mikado.5G564	Tripartite motif-containing protein 35-like (Fragment)
mikado.5G685	Reverse transcriptase domain-containing protein
mikado.5G833	Paired domain-containing protein;Tc1-like transposase DDE domain-containing protein
mikado.5G852	Proline-rich receptor-like protein kinase PERK2 isoform X1;Vegetative cell wall protein gp1-like;WH2 domain-containing protein
mikado.5G991	Netrin-1 Epididymis tissue protein Li 131P;Netrin 5
mikado.6G1186	Carcinoembryonic antigen-related cell adhesion molecule 1-like;Ig-like domain-containing protein;T-cell surface antigen CD2-like isoform X1
mikado.6G1197	Carcinoembryonic antigen-related cell adhesion molecule 1-like;Ig-like domain-containing protein;Pregnancy-specific beta-1-glycoprotein 4-like;SLAM family member 7;T-cell surface antigen CD2-like isoform X2
mikado.6G1324	GI11910 product from transcript GI11910-RA;PIK-related kinase FAT domain-containing protein;SOCS box domain-containing protein
mikado.6G248	Caskin-2 isoform X1;Jouberin Abelson helper integration site 1 protein-like protein;Rho guanine nucleotide exchange factor 26;SH3 domain-containing protein
mikado.6G47	Junctophilin-1-like;Pollen-specific leucine-rich repeat extensin-like protein 1
mikado.6G510	Prokineticin-2;TNFR-Cys domain-containing protein
mikado.6G521	Coiled-coil domain-containing protein 106;Coiled-coil domain-containing protein 106-like;Coiled-coil domain-containing protein 106-like isoform X2;Mediator of RNA polymerase II transcription subunit 19;Putative coiled-coil domain-containing protein 106-like
mikado.6G579	PDZ domain-containing protein;Scribbled homolog (Fragment);Scribble planar cell polarity protein;Transcript variant X15 (Fragment)
mikado.6G611	N-acetyltransferase ESCO zinc-finger domain-containing protein;Titin homolog
mikado.6G788	Ig-like domain-containing protein
mikado.6G863	Glycophorin-C-like
mikado.6G95	DDE Tnp4 domain-containing protein;Nuclease HARBI1
mikado.7G336	DDE Tnp4 domain-containing protein
mikado.7G560	Reverse transcriptase domain-containing protein
mikado.7G678	Cadherin domain-containing protein
mikado.7G686	DDE Tnp4 domain-containing protein
mikado.7G698	Diacylglycerol kinase theta;FAD-binding domain-containing protein;L-amino-acid oxidase
mikado.7G831	BESS domain-containing protein;Cell wall integrity and stress response component 2-like
mikado.7G914	C-type lectin domain-containing protein
mikado.8G1293	Ig-like domain-containing protein
mikado.8G1294	Ig-like domain-containing protein
mikado.8G1433	DDE Tnp4 domain-containing protein;Nuclease HARBI1
mikado.8G288	Receptor-type tyrosine-protein phosphatase eta-like;Receptor-type tyrosine-protein phosphatase eta-like isoform X2
mikado.8G319	GPI-anchored protein PB15E9.01c;Integumentary mucin C.1-like isoform X4;Mucin-associated surface protein (MASP);Putative cell wall integrity and stress response component 2-like
mikado.8G363	G-protein coupled receptors family 3 profile domain-containing protein
mikado.8G542	Reverse transcriptase domain-containing protein (Fragment)
mikado.8G621	PH domain-containing protein;Rho guanine nucleotide exchange factor (GEF) 40 (Fragment)
mikado.8G788	Chromo domain-containing protein cec-1-like
mikado.8G91	Reverse transcriptase domain-containing protein
mikado.9G1063	Tc1-like transposase DDE domain-containing protein
mikado.9G1064	Unc-13 homolog Ba (C. elegans)
mikado.9G200	Magnetosome-associated protein MamJ-like isoform X2
mikado.9G314	Coiled-coil domain containing 157;Coiled-coil domain-containing protein 157-like
mikado.9G374	CARD domain-containing protein
mikado.9G573	Alkylated DNA repair protein AlkB homologue 8 N-terminal domain-containing protein
mikado.9G680	Proactivator polypeptide-like;Prosaposin;Pulmonary surfactant-associated protein B;Saposin B-type domain-containing protein;Surfactant protein Bb
mikado.CAAJIE010000043.1G1	Ribosomal protein L7Ae/L30e/S12e/Gadd45 domain-containing protein
mikado.CAAJIE010000056.1G1	Serum and glucocorticoid-regulated kinase (Fragment)
mikado.CAAJIE010000058.1G1	SET domain-containing protein
mikado.CAAJIE010000060.1G6	Serine/threonine-protein kinase Sgk1 (Fragment);Serum and glucocorticoid-regulated kinase (Fragment)
mikado.CAAJIE010000071.1G36	Serine/arginine repetitive matrix protein 1
mikado.CAAJIE010000159.1G1	Calcium-regulated heat stable protein 1-like;Glucose-dependent insulinotropic receptor;G-protein coupled receptors family 1 profile domain-containing protein;Syntaxin-binding protein 2 (Fragment)
mikado.CAAJIE010000179.1G2	Fibrous sheath CABYR-binding protein-like
mikado.CAAJIE010000210.1G3	Induced stolen tip protein TUB8-like
mikado.CAAJIE010000224.1G3	Ribonuclease inhibitor-like;Stonustoxin subunit beta-like
mikado.CAAJIE010000228.1G1	Beta-1-syntrophin
mikado.CAAJIE010000233.1G14	C-type lectin domain-containing protein
mikado.CAAJIE010000233.1G15	C-type lectin domain-containing protein
mikado.CAAJIE010000233.1G26	C-type lectin domain-containing protein
mikado.CAAJIE010000233.1G27	C-type lectin domain-containing protein
mikado.CAAJIE010000233.1G28	C-type lectin domain-containing protein
mikado.CAAJIE010000235.1G1	Bromodomain-containing protein 4-like;Transcript variant X2
mikado.CAAJIE010000244.1G35	CCHC-type zinc finger, nucleic acid binding protein a (Fragment);Integrase catalytic domain-containing protein;Spermatogenesis-associated protein 7-like isoform X1
mikado.CAAJIE010000248.1G1	Fermitin family member 3b (Fragment);PH domain-containing protein
mikado.CAAJIE010000266.1G13	Immunoglobulin V-set domain-containing protein (Fragment)
mikado.CAAJIE010000358.1G1	CST complex subunit CTC1
mikado.CAAJIE010000392.1G1	Collagen, type V, alpha 3a;Fibrillar collagen NC1 domain-containing protein;Heat shock transcription factor 4;MRG domain-containing protein
mikado.CAAJIE010000425.1G14	Cadherin cytoplasmic C-terminal domain-containing protein (Fragment);Homeobox protein 4;Nuclease HARBI1;Transcript variant X1
mikado.CAAJIE010000425.1G8	Paralemmin
mikado.CAAJIE010000436.1G5	Retrovirus-related Pol poly from transposon TNT 1-94
mikado.CAAJIE010000490.1G16	TGF-beta receptor type-2
mikado.CAAJIE010000490.1G19	Transposase
mikado.CAAJIE010000490.1G21	Transposase
mikado.CAAJIE010000501.1G2	BAH and coiled-coil domain-containing protein 1-like;DDE Tnp4 domain-containing protein;Myosin heavy chain, embryonic smooth muscle isoform-like;Myosin tail domain-containing protein;Ubiquitin specific peptidase 36;USP domain-containing protein
mikado.CAAJIE010000533.1G6	Phospholipase B1, membrane-associated
mikado.CAAJIE010000537.1G1	Reverse transcriptase domain-containing protein
mikado.CAAJIE010000548.1G9	Cell wall integrity and stress response component 2-like;MADF domain-containing protein (Fragment)
mikado.CAAJIE010000560.1G22	ABC-2 type transporter domain-containing protein;ATP-binding cassette, sub-family G (WHITE), member 2b;ATP-binding cassette, sub-family G (WHITE), member 2b (Fragment)
mikado.CAAJIE010000581.1G1	Low-density lipoprotein receptor class A domain-containing protein 4-like;Prostate transmembrane protein, androgen induced 1
mikado.CAAJIE010000584.1G1	Mucin-associated surface protein (MASP);Syntaxin-binding protein 2
mikado.CAAJIE010000602.1G3	Small ArfGAP2
mikado.CAAJIE010000623.1G3	Ig-like domain-containing protein;Junctional adhesion molecule A;Pregnancy-specific beta-1-glycoprotein 1-like
mikado.CAAJIE010000635.1G1	Amyloid beta A4 precursor protein-binding family B member 1-like;PID domain-containing protein (Fragment)
mikado.CAAJIE010000652.1G2	Homeobox protein Hox-B5
mikado.CAAJIE010000660.1G1	Sodium/glucose cotransporter 5
mikado.CAAJIE010000665.1G1	Mannose receptor, C type 1a (Fragment)
mikado.CAAJIE010000683.1G1	Protein phosphatase 2, regulatory subunit B', beta
mikado.CAAJIE010000689.1G5	Cilia- and flagella-associated protein 54-like
mikado.CAAJIE010000692.1G1	BTB domain-containing protein
mikado.CAAJIE010000692.1G2	Reverse transcriptase domain-containing protein
mikado.CAAJIE010000697.1G1	Protein MGARP N-terminal domain-containing protein
mikado.CAAJIE010000701.1G6	Disintegrin and metalloproteinase domain-containing protein 12-like
mikado.CAAJIE010000709.1G1	Chromo domain-containing protein
mikado.CAAJIE010000747.1G15	High mobility group nucleosomal binding domain 3;MAX gene-associated protein-like;Transcript variant X1
mikado.CAAJIE010000751.1G8	Calcium channel, voltage-dependent, alpha 2/delta subunit 4a
mikado.CAAJIE010000772.1G1	Acyltransferase (Fragment);Monoacylglycerol O-acyltransferase 3a;Putative 2-acylglycerol o-acyltransferase 2-a (Fragment)
mikado.CAAJIE010000779.1G2	BED-type domain-containing protein;BED-type domain-containing protein (Fragment)
mikado.CAAJIE010000782.1G137	PH domain-containing protein
mikado.CAAJIE010000782.1G438	RAB33B, member RAS oncogene family;SRCR domain-containing protein (Fragment)
mikado.CAAJIE010000797.1G1	Syntrophin, basic 1;Syntrophin beta 1
mikado.CAAJIE010000800.1G2	Homeobox protein OTX1-like
mikado.CAAJIE010000801.1G9	Ig-like domain-containing protein;Immunoglobulin V-set domain-containing protein
mikado.CAAJIE010000803.1G2	A-kinase anchor protein 13;Solute carrier family 5 member 10
mikado.CAAJIE010000811.1G1	Ig-like domain-containing protein;Immunoglobulin V-set domain-containing protein
mikado.CAAJIE010000812.1G47	Ig-like domain-containing protein;Immunoglobulin V-set domain-containing protein
mikado.CAAJIE010000813.1G2	BHLH domain-containing protein;Myosin heavy fast skeletal muscle
mikado.CAAJIE010000833.1G105	Pheromone-regulated protein PRM7-like
mikado.CAAJIE010000833.1G109	R domain-containing protein (Fragment)
mikado.CAAJIE010000841.1G1	Acylamino-acid-releasing enzyme;Peptidase S9 prolyl oligopeptidase catalytic domain-containing protein (Fragment)
mikado.CAAJIE010000855.1G1	HAT C-terminal dimerisation domain-containing protein
mikado.CAAJIE010000856.1G2	Fatty acid hydroxylase domain-containing protein;Monocyte to macrophage differentiation associated 2
mikado.CAAJIE010000863.1G53	Vacuolar protein sorting-associated protein 13B-like
mikado.CAAJIE010000863.1G74	Vacuolar protein sorting-associated protein 13B-like
mikado.CAAJIE010000906.1G1	SH2 domain-containing protein;Signal transducer and activator of transcription 1-alpha/beta-like
mikado.CAAJIE010000913.1G2	Cilia- and flagella-associated protein 54-like
mikado.CAAJIE010000921.1G6	Transmembrane channel-like protein
mikado.CAAJIE010000944.1G60	Splicing factor, arginine/serine-rich 19-like
mikado.CAAJIE010000966.1G2	E3 SUMO-protein ligase ZBED1;Zinc finger BED domain-containing protein 1-like
mikado.CAAJIE010000975.1G104	Doublecortin domain containing 2;R domain-containing protein (Fragment);Threonylcarbamoyladenosine tRNA methylthiotransferase
mikado.CAAJIE010001002.1G1	ABC transmembrane type-1 domain-containing protein;Syntaxin-binding protein 2
mikado.CAAJIE010001004.1G2	Ig-like domain-containing protein;Immunoglobulin subtype domain-containing protein;Integrator complex subunit 6 homolog
mikado.CAAJIE010001013.1G1	Tc1-like transposase DDE domain-containing protein
mikado.CAAJIE010001045.1G2	Huntingtin
mikado.CAAJIE010001048.1G1	C2H2-type domain-containing protein
mikado.CAAJIE010001070.1G2	Hereditary hemochromatosis protein homolog;HFE protein (Fragment);Ig-like domain-containing protein;Immunoglobulin C1-set domain-containing protein;Major histocompatibility complex class I-related gene protein-like
mikado.CAAJIE010001097.1G1	Apoptotic chromatin condensation inducer in the nucleus isoform X2
mikado.CAAJIE010001126.1G1	Tc1-like transposase DDE domain-containing protein
mikado.CAAJIE010001129.1G18	Ig-like domain-containing protein
mikado.CAAJIE010001149.1G1	Ig-like domain-containing protein;Junctional adhesion molecule A-like;Low affinity immunoglobulin gamma Fc region receptor II-a-like
mikado.CAAJIE010001167.1G1	Transposase Tc1-like domain-containing protein
mikado.CAAJIE010001181.1G1	Immunoglobulin V-set domain-containing protein (Fragment)
mikado.CAAJIE010001190.1G3	Reverse transcriptase domain-containing protein
mikado.CAAJIE010001245.1G1	Polypyrimidine tract-binding protein 3-like
mikado.CAAJIE010001280.1G1	T cell receptor beta variable 12-3
mikado.CAAJIE010001337.1G11	Homeobox protein HoxB5aa
mikado.CAAJIE010001337.1G4	BEN domain-containing protein
mikado.CAAJIE010001348.1G3	Fish virus induced TRIM protein (Fragment);Stonustoxin subunit beta-like;Tripartite motif-containing protein 16-like
mikado.CAAJIE010001369.1G3	Serine/threonine-protein kinase Sgk1 (Fragment);Zinc finger MYM-type protein 1-like
mikado.CAAJIE010001369.1G5	Nuclear receptor ROR-alpha-like;Polycystic kidney disease 1a;TTF-type domain-containing protein
